,Tweet_ID,Date,Tweet_Text,likes_count,retweet_counts
35,1.54634E+18,2022-07-11 04:04:00+00:00,https://t.co/JcLMee61wj,1063908,125723
78,1.54472E+18,2022-07-06 16:25:17+00:00,@AlexBerenson @Twitter Can you say more about this: â€œâ€¦ pressures that the government may have placed on Twitter â€¦â€,39322,4695
116,1.53929E+18,2022-06-21 16:58:57+00:00,@BloombergLive @Twitter The vote of confidence is much appreciated,41829,1817
146,1.53821E+18,2022-06-18 17:15:21+00:00,To answer the question: Why Twitter?,47584,2810
199,1.53753E+18,2022-06-16 20:08:50+00:00,@sourpatchlyds @Twitter Exactly,35426,1737
270,1.53656E+18,2022-06-14 03:45:21+00:00,@stillgray @libsoftiktok @Twitter A platform cannot be considered inclusive or fair if it is biased against half the country,62995,12259
271,1.53653E+18,2022-06-14 02:10:48+00:00,@libsoftiktok Why? @Twitter,90467,8559
273,1.53639E+18,2022-06-13 16:51:19+00:00,@lexfridman @Twitter ðŸ’¯,38147,1254
298,1.53576E+18,2022-06-11 23:00:37+00:00,@georgegalloway @Twitter I think itâ€™s kinda funny ðŸ¤£,21542,828
335,1.53512E+18,2022-06-10 04:43:56+00:00,@mn_google @georgegalloway @Twitter @verified Noooo!,2438,115
336,1.53512E+18,2022-06-10 04:41:12+00:00,@georgegalloway @Twitter @verified Ð¿Ñ€Ð¾ÑÑ‚Ð¸ Ñ‚Ð¾Ð²Ð°Ñ€Ð¸Ñ‰,8719,727
344,1.53494E+18,2022-06-09 16:43:39+00:00,"@TrungTPhan If the average length of a tweet (minus headers) is ~100 bytes of text, thatâ€™s only 50GB. You could fit it on a USB stick.",73305,2719
345,1.53494E+18,2022-06-09 16:38:50+00:00,@RobHerring @OANN Only Twitter,57460,2473
475,1.53164E+18,2022-05-31 14:15:34+00:00,"@Andst7 @PPathole @HamblinZeke @DrKnowItAll16 @stevenmarkryan @paraga Maybe if they do the opposite, Twitter will be a much better experience â€“ just an idea",3306,231
478,1.53163E+18,2022-05-31 13:45:11+00:00,"@PinballReed @crikey_news @ummjackson @cameronwilson My kids wrote better code when they were 12 than the nonsense script Jackson sent me. 

Like I said, if itâ€™s so great, he should share it with the world and make everyoneâ€™s experience with Twitter better. If he does, you will see what I mean.

Jackson Palmer is a tool.",7563,696
541,1.53067E+18,2022-05-28 21:56:44+00:00,"@ajtourville @Twitter Totally, these are very bot-friendly rules!",31571,1533
597,1.53E+18,2022-05-27 01:22:59+00:00,"Ya know, itâ€™s pretty damn great to be able to talk to people from all walks of life and many countries on Twitter!

So much to be learned, even from the harshest critics. 

Basically â€¦ Iâ€™m just saying I love all you crazy people â™¥ï¸â™¥ï¸",334472,22789
629,1.52987E+18,2022-05-26 17:02:12+00:00,(Of Twitter),83149,3292
640,1.52972E+18,2022-05-26 06:59:54+00:00,"@JaneidyEve @stevenmarkryan If I were to own Twitter, it would be geared towards the middle 80% of the population, so technically the far left and far right would probably be dissatisfied",12683,1230
643,1.52964E+18,2022-05-26 01:59:59+00:00,"@stevenmarkryan If Twitter was not truthful here, what else is not true? This is very concerning news.",12034,1347
701,1.52851E+18,2022-05-22 22:53:43+00:00,"@PPathole Haha I donâ€™t even have a burner twitter account! I do have a cheesy secret Instagram account, so I can click on links that friends send me.",73615,2951
713,1.52802E+18,2022-05-21 14:31:29+00:00,"@WholeMarsBlog Iâ€™m worried that Twitter has a disincentive to reduce spam, as it reduces perceived daily users",34639,2645
718,1.52791E+18,2022-05-21 07:14:19+00:00,"@JaneidyEve @TheCryptoDaddi @Block0nex @Jim_Jordan True, owning Twitter probably wonâ€™t increase my life expectancy haha",11014,896
725,1.52778E+18,2022-05-20 22:46:41+00:00,@d2dev_ @Andst7 @Twitter They will,7963,440
738,1.52774E+18,2022-05-20 20:06:18+00:00,@bpcostello @truth_tesla @veespike @HillaryClinton @Twitter !!,5120,554
739,1.52774E+18,2022-05-20 20:03:02+00:00,"@truth_tesla @veespike @HillaryClinton @Twitter Whether other senior campaign managers were aware or not is a separate question.

What is *not* in question is that Sussmann charged the Clinton Campaign for his Russia hoax meeting with the FBI.

Source document:
https://t.co/61C8L9isIU",6047,1660
743,1.52773E+18,2022-05-20 19:25:19+00:00,"@truth_tesla @veespike @HillaryClinton @Twitter ??

Sussmann himself admitted billing Clinton Campaign to pay for him to present Russia hoax to FBI! This is not even questioned by the defense.

Btw, I donated to &amp; voted for Hillary, so am doubly pissed off about those funds being used for lying.

https://t.co/PtFgYzpXQN",15311,4163
744,1.52772E+18,2022-05-20 18:52:57+00:00,@WhatsupFranks @veespike @HillaryClinton @Twitter Doesnâ€™t exactly scream â€œtrustworthyâ€,5698,438
745,1.52772E+18,2022-05-20 18:45:12+00:00,"@veespike @HillaryClinton @Twitter .@paraga and @vijaya, what say you?",16350,2642
746,1.52772E+18,2022-05-20 18:39:31+00:00,@veespike @HillaryClinton @Twitter You are absolutely correct. That tweet is a Clinton campaign hoax for which their campaign lawyer is undergoing a criminal trial. https://t.co/avtjEdthmA,38747,10274
755,1.52763E+18,2022-05-20 12:37:56+00:00,"@catturd2 They began brewing attacks of all kinds as soon as the Twitter acquisition was announced.

In my 30 year career, including the entire MeToo era, thereâ€™s nothing to report, but, as soon as I say I intend to restore free speech to Twitter &amp; vote Republican, suddenly there is â€¦",108553,20650
758,1.52752E+18,2022-05-20 05:19:22+00:00,"@teslaownersSV @JohnnaCrider1 @TaraBull808 No, it was clear that their only goal was a hit price to interfere with the Twitter acquisition. The story was written before they even talked to me.",14502,1339
766,1.52742E+18,2022-05-19 22:36:49+00:00,"To be clear, Iâ€™m spending &lt;5% (but actually) of my time on the Twitter acquisition. It ainâ€™t rocket science!

Yesterday was Giga Texas, today is Starbase. Tesla is on my mind 24/7.

So may seem like below, but not true. https://t.co/CXfWiLD2f8",256397,18530
772,1.52735E+18,2022-05-19 18:09:23+00:00,RT @Liv_Boeree: Daily reminder that your brain on Twitter is being hijacked by an algorithm designed to do one thing: maximise engagement.â€¦,0,10466
773,1.52735E+18,2022-05-19 17:56:22+00:00,https://t.co/fdy0nedGMs,266353,29168
796,1.52709E+18,2022-05-19 01:05:07+00:00,ðŸ˜› ðŸ¿,352375,22052
797,1.52701E+18,2022-05-18 19:39:47+00:00,@waitbutwhy ðŸ’¯,12365,496
810,1.52684E+18,2022-05-18 08:00:05+00:00,@garyblack00 Or 14 times higher than Twitterâ€™s 5% in my case ðŸ¤¨,12912,930
811,1.52683E+18,2022-05-18 07:58:30+00:00,@garyblack00 So â€¦ [checks calculator] â€¦ that would be like 10 times more than 5%,31113,3144
812,1.52683E+18,2022-05-18 07:43:40+00:00,@garyblack00 Interesting,10804,714
814,1.52682E+18,2022-05-18 07:15:54+00:00,bullsh*t baffles brains,231173,17834
815,1.52682E+18,2022-05-18 06:51:51+00:00,"RT @ICannot_Enough: Fresh @elonmusk interview, courtesy @theallinpod :
https://t.co/WmIbsqxuVY",0,1896
816,1.52681E+18,2022-05-18 06:35:20+00:00,@heydave7 Yes,8637,453
818,1.52672E+18,2022-05-18 00:41:34+00:00,@bennyjohnson Twitter exec trashing free speech &amp; mocking people with Aspergerâ€™s â€¦,128024,23636
819,1.52672E+18,2022-05-18 00:26:37+00:00,@bennyjohnson @Twitter ðŸ˜”,86713,5497
824,1.5266E+18,2022-05-17 16:21:33+00:00,"Twitter claims that &gt;95% of daily active users are real, unique humans. Does anyone have that experience?",109324,14133
829,1.52647E+18,2022-05-17 07:35:28+00:00,@Andst7 @paraga Seems like Twitter should welcome external validation if their claims are true,19248,2177
830,1.52647E+18,2022-05-17 07:32:19+00:00,"@Teslarati 20% fake/spam accounts, while 4 times what Twitter claims, could be *much* higher.

My offer was based on Twitterâ€™s SEC filings being accurate.

Yesterday, Twitterâ€™s CEO publicly refused to show proof of &lt;5%.

This deal cannot move forward until he does.",109102,15361
838,1.52625E+18,2022-05-16 17:17:24+00:00,@paraga So how do advertisers know what theyâ€™re getting for their money? This is fundamental to the financial health of Twitter.,37746,3845
848,1.52588E+18,2022-05-15 16:29:08+00:00,@TomFitton @netflix @Twitter @WSJ Good move by @netflix,105857,5104
856,1.52573E+18,2022-05-15 06:44:57+00:00,"@MODL3PILOT @coffeetabletsla @PPathole @Twitter Yes, that would have a big impact!",4028,179
857,1.52573E+18,2022-05-15 06:41:51+00:00,"@coffeetabletsla @PPathole @Twitter With usernames like that, the bots arenâ€™t even trying hard!",3607,217
873,1.52562E+18,2022-05-14 23:15:37+00:00,"@PPathole @Twitter Twitter legal just called to complain that I violated their NDA by revealing the bot check sample size is 100!

This actually happened.",42054,7163
875,1.52561E+18,2022-05-14 23:04:15+00:00,"Very important to fix your Twitter feed:

1. Tap home button.
2. Tap stars on upper right of screen.
3. Select â€œLatest tweetsâ€.

You are being manipulated by the algorithm in ways you donâ€™t realize.

Easy to switch back &amp; forth to see the difference.",552397,97477
876,1.52558E+18,2022-05-14 20:53:41+00:00,@TimRunsHisMouth ðŸ¤£ðŸŽ¯,20750,792
879,1.52555E+18,2022-05-14 18:54:19+00:00,"At least, thatâ€™s what the lib hivemind thinks haha",129501,6218
880,1.52555E+18,2022-05-14 18:52:07+00:00,Whoever thought owning the libs would be cheap never tried to acquire a social media company!,399849,32806
881,1.52531E+18,2022-05-14 02:41:00+00:00,The bots are angry at being counted ðŸ¤£,833381,59144
882,1.5253E+18,2022-05-14 02:39:22+00:00,"@PPathole @Twitter Any sensible random sampling process is fine. If many people independently get similar results for % of fake/spam/duplicate accounts, that will be telling.

I picked 100 as the sample size number, because that is what Twitter uses to calculate &lt;5% fake/spam/duplicate.",14213,1419
883,1.5253E+18,2022-05-14 02:11:18+00:00,@fintwit_news @Twitter I relied upon the accuracy of Twitterâ€™s public filings,21726,1299
884,1.5253E+18,2022-05-14 02:09:10+00:00,@stevenmarkryan @teslaownersSV @Twitter Interesting,5436,260
885,1.5253E+18,2022-05-14 02:01:09+00:00,"@teslaownersSV @Twitter If we collectively try to figure out the bot/duplicate user percentage, we can probably crowdsource a good answer",7632,836
886,1.52529E+18,2022-05-14 01:53:09+00:00,"@teslaownersSV @Twitter Ignore first 1000 followers, then pick every 10th. Iâ€™m open to better ideas.",11373,814
887,1.52529E+18,2022-05-14 01:50:50+00:00,@coffeetabletsla @Twitter Pick any account with a lot of followers,9062,525
888,1.52529E+18,2022-05-14 01:47:07+00:00,"To find out, my team will do a random sample of 100 followers of @twitter. 

I invite others to repeat the same process and see what they discover â€¦",126780,10628
891,1.52508E+18,2022-05-13 11:50:06+00:00,Still committed to acquisition,204207,12693
892,1.52505E+18,2022-05-13 09:44:38+00:00,"Twitter deal temporarily on hold pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users
https://t.co/Y2t0QMuuyn",237688,29071
902,1.52491E+18,2022-05-13 00:45:42+00:00,@ScottAdamsSays @DawgGabriel But I do think that twitter should authenticate all real users and prioritize those replies above unauthenticated users,11046,778
905,1.52491E+18,2022-05-13 00:28:30+00:00,"@BillyM2k If Twitter can tell the difference between real and fake users, why does it allow these in our comments? https://t.co/0EuhTfaVfF",11270,895
911,1.52488E+18,2022-05-12 22:36:38+00:00,"Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter",594804,42972
945,1.52365E+18,2022-05-09 13:20:21+00:00,"@Cernovich Like I said, my preference is to hew close to the laws of countries in which Twitter operates. If the citizens want something banned, then pass a law to do so, otherwise it should be allowed.",39243,4315
946,1.52365E+18,2022-05-09 13:17:40+00:00,@Cernovich Twitter obv has a strong left wing bias,77330,10589
972,1.52261E+18,2022-05-06 16:10:46+00:00,"I strongly believe that all managers in a technical area must be technically excellent. 

Managers in software must write great software or itâ€™s like being a cavalry captain who canâ€™t ride a horse!",273184,25826
973,1.5226E+18,2022-05-06 15:47:54+00:00,@skorusARK We must be doing something right!,21282,862
974,1.5226E+18,2022-05-06 15:45:23+00:00,@kevinmitnick Haha,4197,155
979,1.5226E+18,2022-05-06 15:26:18+00:00,"@mayemusk This rumor originated from a parody account, but got picked up by real media &amp; twitter trends (sigh)",30246,1986
981,1.5226E+18,2022-05-06 15:14:54+00:00,"If Twitter acquisition completes, company will be super focused on hardcore software engineering, design, infosec &amp; server hardware https://t.co/m2HseK0TXl",395958,36485
983,1.52259E+18,2022-05-06 15:02:02+00:00,"@nypost This is false. Iâ€™ve had no communication, directly or indirectly, with Trump, who has publicly stated that he will be exclusively on Truth Social.",311291,23223
988,1.52197E+18,2022-05-04 22:06:58+00:00,"@CathieDWood Passive/index investment is simply an amplifier of active investment. If active investment signal degrades in quality, passive is proportionately impacted.

Also, if there are very few actual active investors, their decisions can greatly increase company valuation volatility.",9634,808
989,1.52195E+18,2022-05-04 20:32:01+00:00,Interesting. I wonder if those funding these organizations are fully aware of what the organizations are doing. https://t.co/YzVZIvF68E,156917,26984
997,1.52163E+18,2022-05-03 23:19:37+00:00,"Twitter will always be free for casual users, but maybe a slight cost for commercial/government users",423267,32777
1005,1.52157E+18,2022-05-03 19:34:55+00:00,"Who funds these organizations that want to control your access to information? Letâ€™s investigate â€¦
https://t.co/dBFsGjOMC8",396446,56990
1007,1.52154E+18,2022-05-03 17:33:50+00:00,@slashdot Literally 10 times higher than it should be,10401,614
1008,1.52154E+18,2022-05-03 17:13:36+00:00,"@squawksquare Also, as mentioned before, we will try to keep as many shareholders as legally possible in privately held Twitter!",14738,853
1015,1.52152E+18,2022-05-03 16:18:24+00:00,"@WholeMarsBlog That is why we must clear out bots, spam &amp; scams. Is something actually public opinion or just someone operating 100k fake accounts? Right now, you canâ€™t tell.

And algorithms must be open source, with any human intervention clearly identified.

Then, trust will be deserved.",46749,7677
1016,1.52152E+18,2022-05-03 16:14:07+00:00,@WholeMarsBlog There is so much potential with Twitter to be the most trusted &amp; broadly inclusive forum in the world!,70630,5734
1017,1.52152E+18,2022-05-03 15:52:21+00:00,@PPathole ðŸ¤£,35468,832
1018,1.52152E+18,2022-05-03 15:50:28+00:00,"@daelmor Yeah, kids starting with lots of money usually have much less motivation than those who have nothing. 

When we started our first company (Zip2) in 95, I had over $100k of student debt, a computer I built myself and a few thousand dollars.",105901,9777
1019,1.52151E+18,2022-05-03 15:39:55+00:00,"@Kristennetten They will say anything to shift support away from me. Think of it as information war, not normal dialogue.",27458,2263
1020,1.5215E+18,2022-05-03 14:35:26+00:00,@stats_feed Time to make life multiplanetary,84710,5040
1021,1.5215E+18,2022-05-03 14:29:15+00:00,@BillyM2k @CoinDesk @SECGov @jackschickler Or twitter,9508,523
1026,1.52133E+18,2022-05-03 03:36:28+00:00,@catturd2 I saw you trending as twitter ceo ðŸ¤£,129059,7717
1042,1.52096E+18,2022-05-02 02:37:23+00:00,@pmarca Sell Shadow Crew merch to buy Twitter?,34868,1977
1044,1.52094E+18,2022-05-02 01:40:00+00:00,@antoniogm ðŸ¤£,6449,227
1075,1.52002E+18,2022-04-29 12:50:33+00:00,@WholeMarsBlog The people of Twitter strongly agree that Twitter needs to be fixed,162141,9721
1079,1.52002E+18,2022-04-29 12:24:43+00:00,@TomFitton @Twitter This is messed up,137123,10608
1084,1.51983E+18,2022-04-29 00:05:35+00:00,@MichaelDell @Twitter @Dell @emc ðŸ¤£,26256,686
1088,1.51974E+18,2022-04-28 17:47:22+00:00,https://t.co/Q9OjlJhi7f,1593048,217888
1089,1.51973E+18,2022-04-28 17:36:09+00:00,@walterkirn Freedom of speech means freedom of speech,279390,21999
1090,1.51972E+18,2022-04-28 16:39:32+00:00,@scrowder Discomforting,69463,4685
1091,1.51962E+18,2022-04-28 10:11:41+00:00,@DavidSacks @willcain Accurate interview,28087,1356
1092,1.51961E+18,2022-04-28 09:30:25+00:00,@The_Kyle_Mann ðŸ¤£ðŸ¤£,70518,2339
1093,1.51958E+18,2022-04-28 07:23:14+00:00,@WatcherGuru FCC FTW!,66738,3634
1094,1.51954E+18,2022-04-28 04:56:21+00:00,@BBCScienceNews https://t.co/SYNTEWKn7q,60647,3219
1095,1.51954E+18,2022-04-28 04:48:15+00:00,@pmarca Sounds like satire,39204,1854
1096,1.51951E+18,2022-04-28 02:37:19+00:00,@DrRamblings @BillyM2k Great show!,15677,354
1099,1.5195E+18,2022-04-28 01:57:27+00:00,"Listen, I canâ€™t do miracles ok https://t.co/z7dvLMUXy8",2629157,219263
1100,1.5195E+18,2022-04-28 01:53:50+00:00,Letâ€™s make Twitter maximum fun!,2706309,202309
1104,1.51947E+18,2022-04-28 00:13:47+00:00,"Twitter DMs should have end to end encryption like Signal, so no one can spy on or hack your messages",1501008,112436
1109,1.51943E+18,2022-04-27 21:25:50+00:00,@dickc What are talking about? Iâ€™m just saying Twitter needs to be politically neutral.,213927,11305
1110,1.51942E+18,2022-04-27 20:38:20+00:00,"For Twitter to deserve public trust, it must be politically neutral, which effectively means upsetting the far right and the far left equally",1587794,150754
1112,1.51939E+18,2022-04-27 18:44:54+00:00,"@Erdayastronaut @RubinReport @nytimes @Forbes @SocialBlade Almost every media outlet on Earth wrote about me acquiring Twitter, causing a massive influx of new users",30248,2657
1116,1.51936E+18,2022-04-27 17:11:41+00:00,Truth Social (terrible name) exists because Twitter censored free speech,504019,31472
1120,1.51918E+18,2022-04-27 05:01:00+00:00,Truth Social is currently beating Twitter &amp; TikTok on the Apple Store https://t.co/RxawVUAYKH,624143,52504
1124,1.51907E+18,2022-04-26 21:56:41+00:00,@esaagar Suspending the Twitter account of a major news organization for publishing a truthful story was obviously incredibly inappropriate,390995,52266
1134,1.51862E+18,2022-04-25 16:12:30+00:00,"I hope that even my worst critics remain on Twitter, because that is what free speech means",3298357,382123
1171,1.51772E+18,2022-04-23 04:07:18+00:00,shadow ban council reviewing tweet â€¦ https://t.co/cawjtwc7CW,637161,43812
1178,1.51768E+18,2022-04-23 01:46:47+00:00,@BillyM2k @engineers_feed So many â€œverifiedâ€ scam crypto bots!,14628,1095
1179,1.51765E+18,2022-04-22 23:55:33+00:00,"@engineers_feed I will verify you. 

The current process for verification is like if Kafka had a Magic 8-Ball!",79987,4175
1186,1.51724E+18,2022-04-21 20:50:20+00:00,@28delayslater ðŸ¤£ðŸ’¯,25115,814
1188,1.51723E+18,2022-04-21 20:12:46+00:00,https://t.co/IOV4tWvyxv,454800,25110
1189,1.51723E+18,2022-04-21 20:09:15+00:00,https://t.co/TMOnmKBcWQ,308837,15921
1192,1.51722E+18,2022-04-21 18:56:34+00:00,And authenticate all real humans,459778,26326
1194,1.51722E+18,2022-04-21 18:53:55+00:00,"If our twitter bid succeeds, we will defeat the spam bots or die trying!",889161,76964
1223,1.51685E+18,2022-04-20 18:47:57+00:00,@BillyM2k @nichegamer @slashdot Does it accurately portray software engineers?,6535,428
1231,1.51661E+18,2022-04-20 02:47:40+00:00,@PPathole Absolutely,31416,1267
1232,1.5166E+18,2022-04-20 02:16:16+00:00,@PPathole @slashdot Yes,37789,2136
1234,1.51648E+18,2022-04-19 18:25:05+00:00,A social media platformâ€™s policies are good if the most extreme 10% on left and right are equally unhappy,503349,44070
1235,1.51647E+18,2022-04-19 17:36:11+00:00,@pmarca Extremely concerning. Who is pushing this censorship/deplatforming? Very shadowy.,77173,9872
1236,1.51617E+18,2022-04-18 21:35:39+00:00,@pmarca ðŸ¤£,12678,458
1237,1.51617E+18,2022-04-18 21:34:37+00:00,@Erdayastronaut â™¥ï¸ðŸš€âœ¨,23510,908
1239,1.51606E+18,2022-04-18 14:15:38+00:00,"Why, thank you, sir!  https://t.co/tealJWLSdP",168952,13798
1240,1.51606E+18,2022-04-18 14:14:22+00:00,@greg16676935420 ðŸ¤£ðŸ¤£,85412,1951
1241,1.51606E+18,2022-04-18 14:09:23+00:00,"@garyblack00 Board salary will be $0 if my bid succeeds, so thatâ€™s ~$3M/year saved right there",71018,10369
1255,1.51544E+18,2022-04-16 21:20:54+00:00,"@WSBChairman In fairness to the Twitter board, this might be more of a concern about other potential bidders vs just me",32680,2491
1257,1.51544E+18,2022-04-16 21:07:09+00:00,@business ðŸ˜›,62515,2441
1259,1.5154E+18,2022-04-16 18:57:17+00:00,"@ChrisJBakke Wow, with Jack departing, the Twitter board collectively owns almost no shares! Objectively, their economic interests are simply not aligned with shareholders.",204236,26666
1268,1.51508E+18,2022-04-15 21:32:09+00:00,@yishan My most immediate takeaway from this novella of a thread is that Twitter is *way* overdue for long form tweets!,108916,6330
1276,1.51472E+18,2022-04-14 21:34:15+00:00,"@cameron If the current Twitter board takes actions contrary to shareholder interests, they would be breaching their fiduciary duty. 

The liability they would thereby assume would be titanic in scale.",98358,16970
1277,1.51471E+18,2022-04-14 20:53:08+00:00,@Cernovich Good question,62452,3425
1278,1.5147E+18,2022-04-14 20:30:39+00:00,@somospostpc @Alwaleed_Talal @Twitter @Kingdom_KHC ðŸ§,39796,2048
1279,1.5147E+18,2022-04-14 20:12:08+00:00,"Taking Twitter private at $54.20 should be up to shareholders, not the board",211167,33425
1280,1.51469E+18,2022-04-14 19:26:37+00:00,"@PoliticalShort @Twitter Absolutely. It would be utterly indefensible not to put this offer to a shareholder vote. They own the company, not the board of directors.",126757,13231
1281,1.51468E+18,2022-04-14 19:12:42+00:00,"@Alwaleed_Talal @Twitter @Kingdom_KHC Interesting. Just two questions, if I may. 

How much of Twitter does the Kingdom own, directly &amp; indirectly?

What are the Kingdomâ€™s views on journalistic freedom of speech?",227863,36500
1282,1.51468E+18,2022-04-14 19:06:07+00:00,Will endeavor to keep as many shareholders in privatized Twitter as allowed by law,187043,11681
1283,1.51456E+18,2022-04-14 11:23:21+00:00,"I made an offer 
https://t.co/VvreuPMeLu",920409,111186
1310,1.5128E+18,2022-04-09 14:39:37+00:00,@jspeedymorris22 @darrenrovell Now subtract crypto scam accounts that twitter constantly shows as â€œrealâ€ people in everyoneâ€™s feed,27853,2699
1312,1.51279E+18,2022-04-09 13:38:00+00:00,And @justinbieber only posted once this entire year,111852,4727
1313,1.51279E+18,2022-04-09 13:35:49+00:00,"For example, @taylorswift13 hasnâ€™t posted anything in 3 months",118093,5870
1314,1.51279E+18,2022-04-09 13:32:31+00:00,"Most of these â€œtopâ€ accounts tweet rarely and post very little content. 

Is Twitter dying? https://t.co/lj9rRXfDHE",212730,18381
1354,1.51132E+18,2022-04-05 12:39:34+00:00,@paraga Looking forward to working with Parag &amp; Twitter board to make significant improvements to Twitter in coming months!,320437,26977
1355,1.51123E+18,2022-04-05 06:32:39+00:00,"@PPathole @Erdayastronaut Yeah, single most annoying problem on twitter imo",23773,797
1454,1.50778E+18,2022-03-26 17:51:26+00:00,"Given that Twitter serves as the de facto public town square, failing to adhere to free speech principles fundamentally undermines democracy. 

What should be done? https://t.co/aPS9ycji37",258358,33116
1466,1.50726E+18,2022-03-25 07:34:52+00:00,"Free speech is essential to a functioning democracy.

Do you believe Twitter rigorously adheres to this principle?",187749,44732
1479,1.50704E+18,2022-03-24 17:07:22+00:00,Twitter algorithm should be open source,70925,10982
1481,1.50704E+18,2022-03-24 16:50:25+00:00,"@waitbutwhy Iâ€™m worried about de facto bias in â€œthe Twitter algorithmâ€ having a major effect on public discourse. 

How do we know whatâ€™s really happening?",28727,3031
1759,1.49532E+18,2022-02-20 08:51:40+00:00,@Erdayastronaut @Twitter @jack @TwitterComms Seriously. How long must this go on?,13209,607
1803,1.49376E+18,2022-02-16 01:26:55+00:00,@BillyM2k @TwitterSupport Agreed. This has been broken for a long time.,18603,960
2026,1.48446E+18,2022-01-21 09:23:26+00:00,Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?,148770,9839
2250,1.47265E+18,2021-12-19 19:27:37+00:00,Looks like twitter is compressing the image,57364,1959
